# Training log. One row per session; the profile sparkline reads this file.
# Columns: date (YYYY-MM-DD), minutes (integer)
# Lines starting with # are ignored, so paste a Hevy or Strava export under
# the header and delete any columns you do not want.
#
# Rows below were converted from a Hevy export: one Hevy row per set,
# collapsed to one row per session, duration = end_time - start_time.
date,minutes
2025-11-24,76
2025-11-27,38
2025-11-29,76
2025-12-04,73
2025-12-08,52
2026-01-02,65
2026-06-04,41
2026-06-11,105
2026-06-15,85
2026-06-19,43
2026-06-20,72
2026-06-24,44
2026-06-25,80
2026-06-29,60
2026-06-30,47
2026-07-04,40
2026-07-06,40
2026-07-09,55
2026-07-11,56
2026-07-13,53
2026-07-14,56
2026-07-18,54
2026-08-01,51
2026-08-04,43
2026-08-05,44
2026-08-08,55
2026-08-10,31
2026-08-11,70
2026-08-13,42
2026-08-15,46
2026-08-17,41
2026-08-20,46
2026-08-22,47
2026-08-23,56
2026-08-25,39
2026-08-27,43
2026-08-29,73
2026-08-31,32
2026-09-02,40
